"id1","id2","boundary"
1,1,0
2,1,1
3,1,2
4,1,3
5,1,4
6,1,5
7,1,6
8,1,7
9,1,8
10,1,9
11,1,1
12,1,1.4142135623731
13,1,2.23606797749979
14,1,3.16227766016838
15,1,4.12310562561766
16,1,5.09901951359278
17,1,6.08276253029822
18,1,7.07106781186548
19,1,8.06225774829855
20,1,9.05538513813742
21,1,2
22,1,2.23606797749979
23,1,2.82842712474619
24,1,3.60555127546399
25,1,4.47213595499958
26,1,5.3851648071345
27,1,6.32455532033676
28,1,7.28010988928052
29,1,8.24621125123532
30,1,9.21954445729289
31,1,3
32,1,3.16227766016838
33,1,3.60555127546399
34,1,4.24264068711928
35,1,5
36,1,5.8309518948453
37,1,6.70820393249937
38,1,7.61577310586391
39,1,8.54400374531753
40,1,9.48683298050514
41,1,4
42,1,4.12310562561766
43,1,4.47213595499958
44,1,5
45,1,5.65685424949238
46,1,6.40312423743285
47,1,7.21110255092798
48,1,8.06225774829855
49,1,8.94427190999916
50,1,9.8488578017961
51,1,5
52,1,5.09901951359278
53,1,5.3851648071345
54,1,5.8309518948453
55,1,6.40312423743285
56,1,7.07106781186548
57,1,7.81024967590665
58,1,8.60232526704263
59,1,9.4339811320566
60,1,10.295630140987
61,1,6
62,1,6.08276253029822
63,1,6.32455532033676
64,1,6.70820393249937
65,1,7.21110255092798
66,1,7.81024967590665
67,1,8.48528137423857
68,1,9.21954445729289
69,1,10
70,1,10.816653826392
71,1,7
72,1,7.07106781186548
73,1,7.28010988928052
74,1,7.61577310586391
75,1,8.06225774829855
76,1,8.60232526704263
77,1,9.21954445729289
78,1,9.89949493661167
79,1,10.6301458127346
80,1,11.4017542509914
81,1,8
82,1,8.06225774829855
83,1,8.24621125123532
84,1,8.54400374531753
85,1,8.94427190999916
86,1,9.4339811320566
87,1,10
88,1,10.6301458127346
89,1,11.3137084989848
90,1,12.0415945787923
91,1,9
92,1,9.05538513813742
93,1,9.21954445729289
94,1,9.48683298050514
95,1,9.8488578017961
96,1,10.295630140987
